Frame,Blur,Brightness,Contrast,Sharpness,Noise,Width,Height
motion_0222.jpg,2602.58,88.14,59.87,120.85,51.02,320,240
motion_0223.jpg,2613.91,88.33,60.08,121.21,51.13,320,240
motion_0224.jpg,2603.83,88.45,60.22,120.82,51.03,320,240
motion_0225.jpg,2593.62,88.41,60.21,120.59,50.93,320,240
motion_0226.jpg,2581.86,88.14,60.02,120.13,50.81,320,240
motion_0227.jpg,2562.65,87.78,59.83,119.21,50.62,320,240
motion_0228.jpg,2575.66,87.77,59.84,119.28,50.75,320,240
motion_0229.jpg,2568.96,87.69,59.5,119.04,50.68,320,240
motion_0230.jpg,2570.09,87.51,59.23,119.07,50.7,320,240
motion_0231.jpg,2569.88,87.43,59.04,118.77,50.69,320,240
motion_0232.jpg,2564.84,87.21,58.86,118.59,50.64,320,240
motion_0233.jpg,2559.1,87.1,58.77,118.04,50.59,320,240
motion_0234.jpg,2574.75,87.14,58.75,118.59,50.74,320,240
motion_0235.jpg,2572.79,87.07,58.67,118.8,50.72,320,240
motion_0236.jpg,2575.34,87.03,58.66,118.92,50.75,320,240
motion_0237.jpg,2573.14,86.87,58.59,118.76,50.73,320,240
motion_0238.jpg,2568.23,86.75,58.52,118.33,50.68,320,240
motion_0239.jpg,2569.38,86.52,58.36,118.53,50.69,320,240
motion_0240.jpg,2586.95,86.27,58.35,118.75,50.86,320,240
motion_0241.jpg,2588.73,86.2,58.37,118.83,50.88,320,240
motion_0242.jpg,2589.06,86.07,58.35,118.79,50.88,320,240
motion_0243.jpg,2589.32,85.99,58.3,118.94,50.89,320,240
motion_0244.jpg,2589.56,85.95,58.26,118.88,50.89,320,240
motion_0245.jpg,2586.51,85.98,58.28,118.81,50.86,320,240
motion_0246.jpg,2595.81,85.85,58.27,118.91,50.95,320,240
motion_0247.jpg,2594.48,85.79,58.2,118.84,50.94,320,240
motion_0248.jpg,2601.92,85.88,58.26,119.13,51.01,320,240
motion_0249.jpg,2604.03,85.73,58.32,119.23,51.03,320,240
motion_0250.jpg,2605.62,85.65,58.33,119.35,51.05,320,240
motion_0251.jpg,2607.54,85.57,58.36,119.4,51.06,320,240
motion_0252.jpg,2620.19,85.66,58.54,119.63,51.19,320,240
motion_0253.jpg,2623.1,85.75,58.64,119.62,51.22,320,240
motion_0254.jpg,2623.13,85.91,58.61,119.7,51.22,320,240
motion_0255.jpg,2624.01,86.07,58.6,119.62,51.23,320,240
motion_0256.jpg,2624.78,86.12,58.61,119.75,51.23,320,240
motion_0257.jpg,2574.63,86.08,58.54,119.17,50.74,320,240
motion_0258.jpg,2582.19,86.01,58.51,119.33,50.82,320,240
motion_0259.jpg,2584.32,86.05,58.5,119.35,50.84,320,240
motion_0260.jpg,2587.56,86.15,58.53,119.4,50.87,320,240
motion_0261.jpg,2589.37,86.18,58.51,119.5,50.89,320,240
motion_0262.jpg,2585.44,86.21,58.48,119.5,50.85,320,240
motion_0263.jpg,2606.45,86.17,58.38,119.79,51.05,320,240
motion_0264.jpg,2603.78,86.15,58.39,119.9,51.03,320,240
motion_0265.jpg,2600.42,86.15,58.39,119.89,50.99,320,240
motion_0266.jpg,2601.22,86.06,58.34,119.86,51.0,320,240
motion_0267.jpg,2600.95,86.06,58.3,119.81,51.0,320,240
motion_0268.jpg,2605.59,86.13,58.3,119.75,51.05,320,240
motion_0269.jpg,2602.12,86.12,58.33,119.61,51.01,320,240
motion_0270.jpg,2600.71,86.13,58.36,119.68,51.0,320,240
motion_0271.jpg,2593.87,86.14,58.41,119.64,50.93,320,240
motion_0272.jpg,2580.96,86.0,58.38,119.27,50.8,320,240
motion_0273.jpg,2579.61,85.87,58.38,119.15,50.79,320,240
motion_0274.jpg,2606.74,85.89,58.5,119.64,51.06,320,240
motion_0275.jpg,2607.09,86.03,58.61,119.77,51.06,320,240
motion_0276.jpg,2610.98,86.07,58.66,119.79,51.1,320,240
motion_0277.jpg,2609.26,86.13,58.68,119.88,51.08,320,240
motion_0278.jpg,2606.94,86.2,58.72,119.82,51.06,320,240
motion_0279.jpg,2607.63,86.27,58.73,119.86,51.06,320,240
motion_0280.jpg,2591.84,86.22,58.67,119.73,50.91,320,240
motion_0281.jpg,2597.28,86.18,58.51,119.81,50.96,320,240
motion_0282.jpg,2608.56,86.24,58.51,120.02,51.07,320,240
motion_0283.jpg,2613.47,86.34,58.61,120.07,51.12,320,240
motion_0284.jpg,2620.25,86.38,58.62,120.37,51.19,320,240
motion_0285.jpg,2618.77,86.33,58.65,120.46,51.17,320,240
motion_0286.jpg,2614.31,86.22,58.63,120.16,51.13,320,240
motion_0287.jpg,2609.51,86.11,58.42,120.14,51.08,320,240
motion_0288.jpg,2565.51,86.01,58.3,119.8,50.65,320,240
motion_0289.jpg,2564.69,86.03,58.32,119.91,50.64,320,240
motion_0290.jpg,2562.16,86.03,58.35,119.88,50.62,320,240
motion_0291.jpg,2558.76,86.09,58.38,119.71,50.58,320,240
motion_0292.jpg,2557.5,86.21,58.4,119.51,50.57,320,240
motion_0293.jpg,2560.42,86.33,58.47,119.4,50.6,320,240
motion_0294.jpg,2589.89,86.34,58.46,119.99,50.89,320,240
motion_0295.jpg,2594.55,86.18,58.38,120.01,50.94,320,240
motion_0296.jpg,2593.5,86.01,58.36,119.99,50.93,320,240
motion_0297.jpg,2593.22,85.85,58.31,119.99,50.92,320,240
motion_0298.jpg,2596.45,85.7,58.23,120.06,50.96,320,240
motion_0299.jpg,2595.34,85.48,58.11,120.07,50.94,320,240
motion_0300.jpg,2596.89,86.33,58.2,120.47,50.96,320,240
motion_0301.jpg,2553.64,90.83,59.96,120.53,50.53,320,240
motion_0302.jpg,2311.49,100.67,65.95,115.82,48.08,320,240
motion_0303.jpg,2283.27,99.25,65.54,114.66,47.78,320,240
motion_0304.jpg,2285.92,98.33,65.48,115.04,47.81,320,240
motion_0305.jpg,1755.84,85.7,57.62,97.6,41.9,320,240
motion_0306.jpg,1477.66,72.84,50.21,91.15,38.44,320,240
motion_0307.jpg,1389.44,87.8,61.31,90.97,37.28,320,240
motion_0308.jpg,1454.55,76.03,54.12,90.91,38.14,320,240
motion_0309.jpg,695.11,143.56,65.24,60.49,26.36,320,240
motion_0310.jpg,560.04,186.48,70.14,36.96,23.67,320,240
motion_0311.jpg,717.2,214.44,73.01,26.9,26.78,320,240
motion_0312.jpg,728.15,218.23,73.05,25.0,26.98,320,240
motion_0313.jpg,798.91,205.45,72.37,32.95,28.27,320,240
motion_0314.jpg,781.56,196.32,71.92,36.66,27.96,320,240
motion_0315.jpg,802.27,192.75,72.15,38.46,28.32,320,240
motion_0316.jpg,880.91,194.07,72.47,41.34,29.68,320,240
motion_0317.jpg,887.22,184.6,73.07,45.39,29.79,320,240
motion_0318.jpg,1077.9,174.49,73.91,52.96,32.83,320,240
motion_0319.jpg,1280.72,164.54,75.69,58.87,35.79,320,240
motion_0320.jpg,1474.09,161.82,75.93,62.9,38.39,320,240
motion_0321.jpg,1553.81,155.32,76.63,64.73,39.42,320,240
motion_0322.jpg,1918.6,138.38,78.24,71.35,43.8,320,240
motion_0323.jpg,1948.9,133.16,78.02,72.31,44.15,320,240
motion_0324.jpg,2081.51,125.16,79.69,74.98,45.62,320,240
motion_0325.jpg,2137.64,121.81,80.01,76.11,46.23,320,240
motion_0326.jpg,2095.77,119.24,79.23,75.28,45.78,320,240
motion_0327.jpg,1286.56,103.61,98.39,56.64,35.87,320,240
motion_0328.jpg,1138.61,56.0,72.43,50.59,33.74,320,240
motion_0329.jpg,884.36,45.37,64.64,45.1,29.74,320,240
motion_0330.jpg,2117.98,101.33,86.48,104.53,46.02,320,240
motion_0331.jpg,2106.77,101.34,86.48,104.15,45.9,320,240
motion_0332.jpg,2094.28,101.26,86.46,103.61,45.76,320,240
motion_0333.jpg,2083.73,101.22,86.47,103.37,45.65,320,240
motion_0334.jpg,2072.79,101.18,86.41,103.4,45.53,320,240
motion_0335.jpg,2083.59,101.08,86.42,103.35,45.65,320,240
motion_0336.jpg,2102.28,101.0,86.33,103.83,45.85,320,240
motion_0337.jpg,2122.16,100.95,86.24,104.94,46.07,320,240
motion_0338.jpg,2123.15,100.84,86.14,104.81,46.08,320,240
motion_0339.jpg,2116.39,100.76,86.08,104.5,46.0,320,240
motion_0340.jpg,2106.02,100.64,86.06,104.64,45.89,320,240
motion_0341.jpg,2106.86,100.57,86.07,104.9,45.9,320,240
motion_0342.jpg,2119.23,100.45,85.98,105.2,46.04,320,240
motion_0343.jpg,2116.05,100.39,85.92,105.11,46.0,320,240
motion_0344.jpg,2122.15,100.34,85.87,104.93,46.07,320,240
motion_0345.jpg,2122.84,100.39,85.89,104.88,46.07,320,240
motion_0346.jpg,2126.38,100.5,85.93,104.57,46.11,320,240
motion_0347.jpg,2126.83,100.57,85.99,104.35,46.12,320,240
motion_0348.jpg,2131.2,100.57,86.03,104.38,46.16,320,240
motion_0349.jpg,2114.56,100.35,85.95,103.83,45.98,320,240
motion_0350.jpg,2111.02,100.4,85.96,103.27,45.95,320,240
motion_0351.jpg,2112.48,100.57,86.08,103.2,45.96,320,240
motion_0352.jpg,2101.47,100.7,86.15,103.16,45.84,320,240
motion_0353.jpg,2100.1,100.71,86.16,103.2,45.83,320,240
motion_0354.jpg,2104.93,100.63,86.1,103.34,45.88,320,240
motion_0355.jpg,2092.91,100.53,86.06,103.12,45.75,320,240
motion_0356.jpg,2083.38,100.43,86.03,102.75,45.64,320,240
motion_0357.jpg,2082.63,100.26,85.96,102.66,45.64,320,240
motion_0358.jpg,2081.32,100.35,86.03,102.48,45.62,320,240
motion_0359.jpg,2082.66,100.42,86.08,102.36,45.64,320,240
motion_0360.jpg,2097.7,100.51,86.15,102.59,45.8,320,240
motion_0361.jpg,2109.05,100.51,86.15,102.77,45.92,320,240
motion_0362.jpg,2114.57,100.67,86.23,102.7,45.98,320,240
motion_0363.jpg,2111.13,100.83,86.31,102.42,45.95,320,240
motion_0364.jpg,2100.81,101.07,86.44,101.97,45.83,320,240
motion_0365.jpg,2104.54,101.31,86.54,101.86,45.88,320,240
motion_0366.jpg,2112.23,101.44,86.6,101.95,45.96,320,240
motion_0367.jpg,2114.29,101.6,86.66,102.32,45.98,320,240
motion_0368.jpg,2121.81,101.73,86.69,102.84,46.06,320,240
motion_0369.jpg,2124.4,101.69,86.69,103.05,46.09,320,240
motion_0370.jpg,2119.34,101.63,86.69,102.81,46.04,320,240
motion_0371.jpg,2117.75,101.6,86.69,102.8,46.02,320,240
motion_0372.jpg,2130.19,101.6,86.71,102.94,46.15,320,240
